iter	Passed	Remaining
0	0	430
1	0	417
2	1	379
3	1	352
4	1	336
5	2	341
6	2	342
7	2	340
8	3	339
9	3	336
10	3	329
11	3	325
12	4	319
13	4	317
14	4	313
15	5	318
16	5	321
17	5	318
18	6	316
19	6	314
20	6	313
21	7	313
22	7	313
23	7	317
24	8	318
25	8	316
26	8	314
27	9	314
28	9	312
29	9	312
30	9	311
31	10	313
32	10	311
33	10	310
34	11	310
35	11	309
36	11	308
37	12	307
38	12	306
39	12	304
40	12	304
41	13	303
42	13	301
43	13	299
44	14	298
45	14	298
46	14	296
47	14	295
48	15	294
49	15	293
50	15	292
51	16	292
52	16	292
53	16	291
54	16	290
55	17	288
56	17	288
57	17	287
58	17	286
59	18	285
60	18	285
61	18	284
62	19	284
63	19	283
64	19	283
65	20	284
66	20	285
67	20	285
68	21	286
69	21	286
70	21	285
71	22	283
72	22	284
73	22	283
74	22	283
75	23	282
76	23	281
77	23	280
78	24	280
79	24	279
80	24	279
81	24	278
82	25	276
83	25	276
84	25	275
85	25	275
86	26	274
87	26	274
88	26	273
89	26	272
90	27	272
91	27	272
92	27	271
93	28	272
94	28	272
95	28	271
96	29	271
97	29	271
98	29	270
99	30	270
100	30	270
101	30	270
102	31	270
103	31	270
104	31	270
105	32	270
106	32	269
107	32	269
108	32	269
109	33	268
110	33	268
111	33	268
112	34	267
113	34	267
114	34	267
115	35	267
116	35	266
117	35	265
118	35	265
119	36	265
120	36	264
121	36	263
122	36	263
123	37	263
124	37	263
125	37	263
126	38	262
127	38	261
128	38	261
129	39	261
130	39	260
131	39	260
132	39	260
133	40	260
134	40	260
135	40	259
136	41	259
137	41	258
138	41	258
139	42	258
140	42	257
141	42	256
142	42	256
143	43	256
144	43	255
145	43	255
146	43	255
147	44	255
148	44	254
149	44	254
150	45	254
151	45	254
152	45	253
153	46	253
154	46	252
155	46	252
156	46	252
157	47	252
158	47	251
159	47	251
160	48	250
161	48	250
162	48	250
163	49	250
164	49	250
165	49	250
166	50	249
167	50	249
168	50	248
169	50	248
170	51	248
171	51	248
172	51	248
173	52	248
174	52	247
175	52	247
176	53	247
177	53	246
178	53	246
179	54	246
180	54	245
181	54	245
182	55	245
183	55	245
184	55	245
185	55	245
186	56	244
187	56	244
188	56	243
189	57	243
190	57	243
191	57	242
192	57	242
193	58	241
194	58	241
195	58	241
196	59	240
197	59	240
198	59	240
199	60	240
200	60	239
201	60	239
202	60	239
203	61	238
204	61	238
205	61	237
206	61	237
207	62	237
208	62	237
209	62	236
210	63	236
211	63	236
212	64	236
213	64	236
214	64	235
215	64	235
216	65	235
217	65	234
218	65	234
219	66	234
220	66	233
221	66	233
222	66	233
223	67	232
224	67	232
225	67	232
226	68	231
227	68	231
228	68	230
229	68	230
230	69	230
231	69	229
232	69	229
233	70	229
234	70	228
235	70	228
236	70	228
237	71	227
238	71	227
239	71	226
240	71	226
241	72	226
242	72	225
243	72	225
244	72	224
245	73	224
246	73	224
247	73	223
248	74	223
249	74	223
250	74	223
251	75	223
252	75	223
253	75	222
254	76	222
255	76	222
256	76	221
257	77	221
258	77	221
259	77	220
260	77	220
261	78	220
262	78	220
263	78	219
264	79	219
265	79	219
266	79	218
267	80	218
268	80	218
269	80	217
270	80	217
271	81	217
272	81	217
273	81	216
274	82	216
275	82	215
276	82	215
277	82	215
278	83	215
279	83	214
280	83	214
281	84	214
282	84	214
283	84	213
284	85	213
285	85	213
286	85	212
287	85	212
288	86	211
289	86	211
290	86	211
291	87	211
292	87	210
293	87	210
294	87	210
295	88	209
296	88	209
297	88	209
298	89	209
299	89	208
300	89	208
301	90	208
302	90	207
303	90	207
304	90	207
305	91	206
306	91	206
307	91	206
308	92	205
309	92	205
310	92	205
311	92	204
312	93	204
313	93	204
314	93	204
315	94	203
316	94	203
317	94	202
318	94	202
319	95	202
320	95	201
321	95	201
322	96	201
323	96	201
324	96	200
325	96	200
326	97	200
327	97	199
328	97	199
329	98	199
330	98	198
331	98	198
332	98	198
333	99	198
334	99	197
335	99	197
336	100	197
337	100	196
338	100	196
339	101	196
340	101	195
341	101	195
342	101	195
343	102	194
344	102	194
345	102	194
346	102	193
347	103	193
348	103	193
349	103	192
350	104	192
351	104	192
352	104	191
353	104	191
354	105	191
355	105	190
356	105	190
357	106	190
358	106	190
359	106	189
360	107	189
361	107	189
362	107	188
363	107	188
364	108	188
365	108	188
366	108	187
367	109	187
368	109	187
369	109	187
370	110	186
371	110	186
372	110	186
373	110	185
374	111	185
375	111	185
376	111	184
377	112	184
378	112	184
379	112	183
380	112	183
381	113	183
382	113	182
383	113	182
384	114	182
385	114	181
386	114	181
387	114	181
388	115	180
389	115	180
390	115	180
391	115	179
392	116	179
393	116	179
394	116	179
395	117	178
396	117	178
397	117	178
398	118	178
399	118	177
400	118	177
401	119	177
402	119	176
403	119	176
404	119	176
405	120	175
406	120	175
407	120	175
408	120	174
409	121	174
410	121	174
411	121	174
412	122	173
413	122	173
414	122	173
415	123	172
416	123	172
417	123	172
418	124	171
419	124	171
420	124	171
421	124	171
422	125	170
423	125	170
424	125	170
425	126	169
426	126	169
427	126	169
428	126	168
429	127	168
430	127	168
431	127	168
432	128	167
433	128	167
434	128	167
435	128	166
436	129	166
437	129	166
438	129	165
439	130	165
440	130	165
441	130	165
442	131	164
443	131	164
444	131	164
445	132	163
446	132	163
447	132	163
448	133	163
449	133	162
450	133	162
451	134	162
452	134	162
453	134	161
454	134	161
455	135	161
456	135	161
457	135	160
458	136	160
459	136	160
460	136	159
461	137	159
462	137	159
463	137	158
464	137	158
465	138	158
466	138	158
467	138	157
468	139	157
469	139	157
470	139	157
471	140	156
472	140	156
473	140	156
474	140	155
475	141	155
476	141	155
477	142	155
478	142	154
479	142	154
480	142	154
481	143	153
482	143	153
483	143	153
484	144	153
485	144	152
486	144	152
487	145	152
488	145	152
489	145	151
490	146	151
491	146	151
492	146	151
493	147	150
494	147	150
495	147	150
496	148	149
497	148	149
498	148	149
499	149	149
500	149	148
501	149	148
502	150	148
503	150	147
504	150	147
505	150	147
506	151	146
507	151	146
508	151	146
509	151	145
510	152	145
511	152	145
512	152	145
513	153	144
514	153	144
515	153	144
516	153	143
517	154	143
518	154	143
519	154	142
520	155	142
